source_folder,title,pdf_date,media_id,ticker,n_pos,n_neg,sign
美国科技日报(270),科技日报1204 美股盘前.pdf,2025-12-04,pdf_c4e6e66f56fa0b99703202f9120a53f4_71bbce981dd238395e4f564d8fa06bca7297249738490228,META,1,0,1
美国科技日报(270),科技日报 1217 美股盘前.pdf,2025-12-17,pdf_c4e6e66f56fa0b99703202f9120a53f4_1842d4f0ae506a03029e88125b4be6157297249738490228,ORCL,0,0,0
美国科技日报(270),科技日报 1218美股盘前.pdf,2025-12-18,pdf_c4e6e66f56fa0b99703202f9120a53f4_e1c467cf8685c0f9b677161c5b97a3ce7297249738490228,MU,3,0,1
美国科技日报(270),科技日报 1218美股盘前.pdf,2025-12-18,pdf_c4e6e66f56fa0b99703202f9120a53f4_e1c467cf8685c0f9b677161c5b97a3ce7297249738490228,PYPL,3,0,1
美国科技日报(270),科技日报 0107美股盘后.pdf,2026-01-07,pdf_c4e6e66f56fa0b99703202f9120a53f4_a924790b9ba5177ef00c21253e77faee7297249738490228,AMD,1,0,1
美国科技日报(270),科技日报 0116美股盘后.pdf,2026-01-16,pdf_c4e6e66f56fa0b99703202f9120a53f4_e3e485f60cad184a896b92d6036c9f8a7297249738490228,AMZN,0,1,-1
美国科技日报(270),科技日报 0116美股盘后.pdf,2026-01-16,pdf_c4e6e66f56fa0b99703202f9120a53f4_e3e485f60cad184a896b92d6036c9f8a7297249738490228,ASML,0,1,-1
美国科技日报(270),科技日报 0121 美股盘前.pdf,2026-01-21,pdf_c4e6e66f56fa0b99703202f9120a53f4_4893591b0dd678e067507fd6e6be11087297249738490228,DDOG,2,0,1
美国科技日报(270),科技日报 0129 美股盘前.pdf,2026-01-29,pdf_c4e6e66f56fa0b99703202f9120a53f4_f9e546b1d7f8f694802e9efe4a492cc27297249738490228,MSFT,2,1,0
美国科技日报(270),科技日报 0129 美股盘前.pdf,2026-01-29,pdf_c4e6e66f56fa0b99703202f9120a53f4_f9e546b1d7f8f694802e9efe4a492cc27297249738490228,SW,2,1,0
美国科技日报(270),科技日报 0210美股盘后.pdf,2026-02-10,pdf_c4e6e66f56fa0b99703202f9120a53f4_283f9db2cb4ffa808c37af04334e1c3e7297249738490228,EXPE,4,2,0
美国科技日报(270),科技日报 0212美股盘后.pdf,2026-02-12,pdf_c4e6e66f56fa0b99703202f9120a53f4_559ef22940412ea048e05ff39fdd692c7297249738490228,APP,1,1,0
美国科技日报(270),科技日报 0212美股盘后.pdf,2026-02-12,pdf_c4e6e66f56fa0b99703202f9120a53f4_559ef22940412ea048e05ff39fdd692c7297249738490228,CSCO,1,1,0
美国科技日报(270),科技日报 0217 美股盘前.pdf,2026-02-17,pdf_c4e6e66f56fa0b99703202f9120a53f4_d3a71577aaa4a4b02bfadbb17c3c75c97297249738490228,ADI,2,0,1
美国科技日报(270),科技日报 0217 美股盘前.pdf,2026-02-17,pdf_c4e6e66f56fa0b99703202f9120a53f4_d3a71577aaa4a4b02bfadbb17c3c75c97297249738490228,BKNG,2,0,1
美国科技日报(270),科技日报 0217 美股盘前.pdf,2026-02-17,pdf_c4e6e66f56fa0b99703202f9120a53f4_d3a71577aaa4a4b02bfadbb17c3c75c97297249738490228,CDNS,2,0,1
美国科技日报(270),科技日报 0217 美股盘前.pdf,2026-02-17,pdf_c4e6e66f56fa0b99703202f9120a53f4_d3a71577aaa4a4b02bfadbb17c3c75c97297249738490228,DASH,2,0,1
美国科技日报(270),科技日报 0217 美股盘前.pdf,2026-02-17,pdf_c4e6e66f56fa0b99703202f9120a53f4_d3a71577aaa4a4b02bfadbb17c3c75c97297249738490228,PANW,2,0,1
美国科技日报(270),科技日报 0218 美股盘前.pdf,2026-02-18,pdf_c4e6e66f56fa0b99703202f9120a53f4_d2ba74d6f7cadabe230331bd74c53b8b7297249738490228,ADI,3,3,0
美国科技日报(270),科技日报 0218 美股盘前.pdf,2026-02-18,pdf_c4e6e66f56fa0b99703202f9120a53f4_d2ba74d6f7cadabe230331bd74c53b8b7297249738490228,CDNS,3,3,0
美国科技日报(270),科技日报 0218 美股盘前.pdf,2026-02-18,pdf_c4e6e66f56fa0b99703202f9120a53f4_d2ba74d6f7cadabe230331bd74c53b8b7297249738490228,PANW,3,3,0
美国科技日报(270),科技日报 0225 美股盘前.pdf,2026-02-25,pdf_c4e6e66f56fa0b99703202f9120a53f4_34de6c8bd40a1f7ed6e025dabf9cccbb7297249738490228,CRM,0,0,0
美国科技日报(270),科技日报 0225 美股盘前.pdf,2026-02-25,pdf_c4e6e66f56fa0b99703202f9120a53f4_34de6c8bd40a1f7ed6e025dabf9cccbb7297249738490228,NVDA,0,0,0
美国科技日报(270),科技日报 0225 美股盘前.pdf,2026-02-25,pdf_c4e6e66f56fa0b99703202f9120a53f4_34de6c8bd40a1f7ed6e025dabf9cccbb7297249738490228,SNDK,0,0,0
美国科技日报(270),科技日报 0226 美股盘后总结.pdf,2026-02-26,pdf_c4e6e66f56fa0b99703202f9120a53f4_986492bbf57a025a425d12ba63f0d0747297249738490228,CRM,0,0,0
美国科技日报(270),科技日报 0226 美股盘后总结.pdf,2026-02-26,pdf_c4e6e66f56fa0b99703202f9120a53f4_986492bbf57a025a425d12ba63f0d0747297249738490228,NVDA,0,0,0
美国科技日报(270),科技日报 0226 美股盘后总结.pdf,2026-02-26,pdf_c4e6e66f56fa0b99703202f9120a53f4_986492bbf57a025a425d12ba63f0d0747297249738490228,SNDK,0,0,0
美国科技日报(270),科技日报 0226美股盘前.pdf,2026-02-26,pdf_c4e6e66f56fa0b99703202f9120a53f4_e49f50d18a017c6225ae2810f605d67c7297249738490228,MS,4,0,1
美国科技日报(270),科技日报 0227美股盘前.pdf,2026-02-27,pdf_c4e6e66f56fa0b99703202f9120a53f4_a4175b945f22bd379c989cd5521fa3ce7297249738490228,CRWV,1,3,0
美国科技日报(270),科技日报 0227美股盘前.pdf,2026-02-27,pdf_c4e6e66f56fa0b99703202f9120a53f4_a4175b945f22bd379c989cd5521fa3ce7297249738490228,XYZ,1,3,0
美国科技日报(270),科技日报 0228美股收盘总结.pdf,2026-02-28,pdf_c4e6e66f56fa0b99703202f9120a53f4_867bb9728a89b37f8b51321145ecc36e7297249738490228,ADSK,0,0,0
美国科技日报(270),科技日报 0228美股收盘总结.pdf,2026-02-28,pdf_c4e6e66f56fa0b99703202f9120a53f4_867bb9728a89b37f8b51321145ecc36e7297249738490228,NFLX,0,0,0
美国科技日报(270),科技日报 0228美股收盘总结.pdf,2026-02-28,pdf_c4e6e66f56fa0b99703202f9120a53f4_867bb9728a89b37f8b51321145ecc36e7297249738490228,XYZ,0,0,0
美国科技日报(270),科技日报 0310美股盘前.pdf,2026-03-10,pdf_c4e6e66f56fa0b99703202f9120a53f4_0a8326b1242f8b0864d890485db489597297249738490228,HPE,1,0,1
美国科技日报(270),科技日报 0318美股收盘总结.pdf,2026-03-18,pdf_c4e6e66f56fa0b99703202f9120a53f4_6f84c69da5208e73a89c7596558a3c6c7297249738490228,LITE,2,0,1
美国科技日报(270),科技日报 0318 美股盘前.pdf,2026-03-18,pdf_c4e6e66f56fa0b99703202f9120a53f4_751479e3983660f33aaaa4dc91b4ffc87297249738490228,MAR,1,0,1
美国科技日报(270),科技日报 0320美股盘后总结.pdf,2026-03-20,pdf_c4e6e66f56fa0b99703202f9120a53f4_ba0ff49b44d4856c24057a6075c187ee7297249738490228,MU,2,1,0
美国科技日报(270),科技日报 0326 美股盘后总结.pdf,2026-03-26,pdf_c4e6e66f56fa0b99703202f9120a53f4_fdcc7ee5f9d0f6c2246dfdec50a19f5c7297249738490228,AMD,0,0,0
美国科技日报(270),科技日报 0326 美股盘后总结.pdf,2026-03-26,pdf_c4e6e66f56fa0b99703202f9120a53f4_fdcc7ee5f9d0f6c2246dfdec50a19f5c7297249738490228,ARM,0,0,0
美国科技日报(270),科技日报 0326 美股盘后总结.pdf,2026-03-26,pdf_c4e6e66f56fa0b99703202f9120a53f4_fdcc7ee5f9d0f6c2246dfdec50a19f5c7297249738490228,MU,0,0,0
美国科技日报(270),科技日报0401 美股盘后总结.pdf,2026-04-01,pdf_c4e6e66f56fa0b99703202f9120a53f4_f64c4081d8bc7e9305a2e168ab8a73697297249738490228,MRVL,4,4,0
美国科技日报(270),科技日报 0402 美股盘前.PDF,2026-04-02,pdf_c4e6e66f56fa0b99703202f9120a53f4_795e645e9df4764c4d3936a22b6a7d0c7297249738490228,AMZN,3,1,0
美国科技日报(270),科技日报 0414美股收盘总结.pdf,2026-04-14,pdf_c4e6e66f56fa0b99703202f9120a53f4_22055a1c895c6509dafd5b931b6997137297249738490228,ORCL,1,0,1
美国科技日报(270),科技日报 0416美股盘前.pdf,2026-04-16,pdf_c4e6e66f56fa0b99703202f9120a53f4_2277dbee3a564447fc05d973add8a52e7297249738490228,NVDA,1,0,1
美国科技日报(270),科技日报 0414美股盘前.pdf,2026-04-14,pdf_c4e6e66f56fa0b99703202f9120a53f4_205a467aaf3e60e5d7d349133c9dffd57297249738490228,GOOGL,0,0,0
美国科技日报(270),科技日报 0417美股盘后.pdf,2026-04-17,pdf_c4e6e66f56fa0b99703202f9120a53f4_f5b0475b5b2411d6ac65252568900ba17297249738490228,AMD,1,1,0
美国科技日报(270),科技日报 0423美股盘前.pdf,2026-04-23,pdf_c4e6e66f56fa0b99703202f9120a53f4_ccbc9a033fc1beda5b78669b909cfc187297249738490228,IBM,0,0,0
美国科技日报(270),科技日报 0423美股盘前.pdf,2026-04-23,pdf_c4e6e66f56fa0b99703202f9120a53f4_ccbc9a033fc1beda5b78669b909cfc187297249738490228,NOW,0,0,0
美国科技日报(270),科技日报 0423美股盘前.pdf,2026-04-23,pdf_c4e6e66f56fa0b99703202f9120a53f4_ccbc9a033fc1beda5b78669b909cfc187297249738490228,TXN,0,0,0
美国科技日报(270),科技日报 0422美股盘前.pdf,2026-04-22,pdf_c4e6e66f56fa0b99703202f9120a53f4_4f1a402de59799cf2b47df4b6f7b5afe7297249738490228,GEV,2,0,1
美国科技日报(270),科技日报 0422美股盘前.pdf,2026-04-22,pdf_c4e6e66f56fa0b99703202f9120a53f4_4f1a402de59799cf2b47df4b6f7b5afe7297249738490228,GOOGL,2,0,1
美国科技日报(270),科技日报 0422美股盘前.pdf,2026-04-22,pdf_c4e6e66f56fa0b99703202f9120a53f4_4f1a402de59799cf2b47df4b6f7b5afe7297249738490228,TEL,2,0,1
美国科技日报(270),科技日报 0422美股盘前.pdf,2026-04-22,pdf_c4e6e66f56fa0b99703202f9120a53f4_4f1a402de59799cf2b47df4b6f7b5afe7297249738490228,VRT,2,0,1
美国科技日报(270),科技日报  - 美股收盘总结 0429.pdf,2026-04-29,pdf_c4e6e66f56fa0b99703202f9120a53f4_1edf9ac9af96274831f0af56d64fb51f7297249738490228,BKNG,0,1,-1
美国科技日报(270),科技日报  - 美股收盘总结 0429.pdf,2026-04-29,pdf_c4e6e66f56fa0b99703202f9120a53f4_1edf9ac9af96274831f0af56d64fb51f7297249738490228,NXPI,0,1,-1
美国科技日报(270),科技日报  - 美股收盘总结 0429.pdf,2026-04-29,pdf_c4e6e66f56fa0b99703202f9120a53f4_1edf9ac9af96274831f0af56d64fb51f7297249738490228,STX,0,1,-1
美国科技日报(270),科技日报 0424美股盘前.pdf,2026-04-24,pdf_c4e6e66f56fa0b99703202f9120a53f4_59b1d9e5e95bcdc50a42dfc6a3e75e237297249738490228,AMD,4,0,1
美国科技日报(270),科技日报 0424美股盘前.pdf,2026-04-24,pdf_c4e6e66f56fa0b99703202f9120a53f4_59b1d9e5e95bcdc50a42dfc6a3e75e237297249738490228,ARM,4,0,1
美国科技日报(270),科技日报 0424美股盘前.pdf,2026-04-24,pdf_c4e6e66f56fa0b99703202f9120a53f4_59b1d9e5e95bcdc50a42dfc6a3e75e237297249738490228,INTC,4,0,1
美国科技日报(270),科技日报 0501美股盘前.pdf,2026-05-01,pdf_c4e6e66f56fa0b99703202f9120a53f4_78bf32e41eace689732cb3ba6ce0b3b27297249738490228,SNDK,1,0,1
美国科技日报(270),科技日报 0429美股盘前.pdf,2026-04-29,pdf_c4e6e66f56fa0b99703202f9120a53f4_49c2cd3390faf1e3c5102c46c8d165cd7297249738490228,STX,3,2,0
美国科技日报(270),科技日报 0507美股盘前.pdf,2026-05-07,pdf_c4e6e66f56fa0b99703202f9120a53f4_2a305ff7dfa9baa3cb1e3cf9d76bdd1f7297249738490228,APP,0,0,0
美国科技日报(270),科技日报 0507美股盘前.pdf,2026-05-07,pdf_c4e6e66f56fa0b99703202f9120a53f4_2a305ff7dfa9baa3cb1e3cf9d76bdd1f7297249738490228,ARM,0,0,0
美国科技日报(270),科技日报 0507美股盘前.pdf,2026-05-07,pdf_c4e6e66f56fa0b99703202f9120a53f4_2a305ff7dfa9baa3cb1e3cf9d76bdd1f7297249738490228,DDOG,0,0,0
美国科技日报(270),科技日报 0507美股盘前.pdf,2026-05-07,pdf_c4e6e66f56fa0b99703202f9120a53f4_2a305ff7dfa9baa3cb1e3cf9d76bdd1f7297249738490228,FTNT,0,0,0
美国科技日报(270),科技日报 0507美股盘前.pdf,2026-05-07,pdf_c4e6e66f56fa0b99703202f9120a53f4_2a305ff7dfa9baa3cb1e3cf9d76bdd1f7297249738490228,GLW,0,0,0
美国科技日报(270),科技日报 0505美股盘前.pdf,2026-05-05,pdf_c4e6e66f56fa0b99703202f9120a53f4_c23d96070164ebac495fedcd1b3d97ab7297249738490228,PLTR,5,0,1
美国科技日报(270),科技日报 0508美股盘前.pdf,2026-05-08,pdf_c4e6e66f56fa0b99703202f9120a53f4_a3b453d8e31bd75a2c144e859623a02d7297249738490228,CRWV,1,1,0
美国科技日报(270),科技日报 0512美股盘后.pdf,2026-05-12,pdf_c4e6e66f56fa0b99703202f9120a53f4_8c9015b5f02782c1aa17c3fcfa6208b27297249738490228,NVDA,0,0,0
美国科技日报(270),科技日报 0513美股盘后.pdf,2026-05-13,pdf_c4e6e66f56fa0b99703202f9120a53f4_4c9c475f39a6799b54d3f5d1c211ce6a7297249738490228,MS,1,2,0
美国科技日报(270),科技日报 0514美股盘前.pdf,2026-05-14,pdf_c4e6e66f56fa0b99703202f9120a53f4_6427694d799c299c9be52f45868c6ee67297249738490228,AMZN,6,0,1
美国科技日报(270),科技日报 0514美股盘前.pdf,2026-05-14,pdf_c4e6e66f56fa0b99703202f9120a53f4_6427694d799c299c9be52f45868c6ee67297249738490228,CSCO,6,0,1
美国科技日报(270),科技日报 0519美股盘前.pdf,2026-05-19,pdf_c4e6e66f56fa0b99703202f9120a53f4_743ffb37b76cc9db54ec6a99cdefa9b67297249738490228,MRVL,0,0,0
